Player,Opp,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Rush_Att,Rush_Yds,Rush_TD,Rush_2Pt,Rec,Rec_Yds,Rec_TD,Rec_2Pt,FL,Week
D. Maye NE,@ JAX,24,37,26,276,2,0,0,3,18,0,0,0,0,0,0,0,7
J. Goff DET,@ MIN,23,25,22,280,2,0,0,2,-4,0,0,0,0,0,0,0,7
M. Mariota WAS,vs CAR,23,23,18,205,2,0,0,11,34,0,0,0,0,0,0,0,7
J. Love GB,vs HOU,22,33,24,220,3,2,0,0,0,0,0,0,0,0,0,0,7
K. Murray ARI,vs LAC,21,26,14,145,1,1,0,6,64,1,0,0,0,0,0,0,7
G. Smith SEA,@ ATL,21,28,18,207,2,0,0,4,15,0,0,0,0,0,0,0,7
J. Burrow CIN,@ CLE,19,25,15,181,2,0,0,3,-3,0,0,0,0,0,0,0,7
S. Darnold MIN,vs DET,17,27,22,259,1,1,0,4,39,0,0,0,0,0,0,0,7
T. Lawrence JAX,vs NE,16,20,15,193,1,0,1,2,13,0,0,0,0,0,0,0,7
B. Purdy SF,vs KC,16,31,17,212,0,3,0,8,27,2,0,0,0,0,0,0,7
A. Rodgers NYJ,@ PIT,15,39,24,276,1,2,1,0,0,0,0,0,0,0,0,0,7
J. Herbert LAC,@ ARI,13,39,27,349,0,0,0,2,8,0,0,0,0,0,0,0,7
B. Nix DEN,@ NO,13,26,16,164,0,0,0,10,75,0,0,0,0,0,0,0,7
M. Rudolph TEN,@ BUF,12,40,25,215,1,1,0,5,13,0,0,0,0,0,0,1,7
T. Huntley MIA,@ IND,11,13,7,87,1,0,0,5,20,0,0,0,0,0,0,0,7
P. Mahomes KC,@ SF,11,27,16,154,0,2,0,5,39,1,0,0,0,0,0,0,7
K. Cousins ATL,vs SEA,10,35,24,232,1,2,0,1,-1,0,0,0,0,0,0,1,7
J. Winston CLE,vs CIN,10,11,5,67,1,0,1,0,0,0,0,0,0,0,0,0,7
A. Richardson IND,vs MIA,9,24,10,129,0,0,0,14,56,0,0,0,0,0,0,1,7
J. Haener NO,vs DEN,7,4,3,38,1,0,0,0,0,0,0,0,0,0,0,0,7
S. Rattler NO,vs DEN,7,35,25,172,0,0,0,5,34,0,0,0,0,0,0,2,7
J. Daniels WAS,vs CAR,5,2,2,6,0,0,0,3,50,0,0,0,0,0,0,0,7
D. Jones MIN,@ NYG,5,21,14,99,0,0,0,5,20,0,0,0,0,0,0,0,7
D. Watson CLE,vs CIN,5,17,15,128,0,0,0,2,0,0,0,0,0,0,0,0,7
M. Stafford LA,vs LV,4,23,14,154,0,1,0,2,-2,0,0,0,0,0,0,0,7
C. Stroud HOU,@ GB,4,21,10,86,0,0,0,5,19,0,0,0,0,0,0,0,7
D. Thompson-Robinson CLE,vs CIN,3,24,11,82,0,2,0,3,44,0,0,0,0,0,0,0,7
T. Boyle NYG,@ IND,2,13,8,74,0,0,0,1,4,0,0,0,0,0,0,0,7
A. O'Connell LV,@ LA,2,10,6,52,0,0,0,0,0,0,0,0,0,0,0,0,7
D. Lock NYG,vs PHI,1,8,3,6,0,0,0,1,13,0,0,0,0,0,0,0,7
M. Penix ATL,vs SEA,0,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,7
K. Pickett PHI,@ NYG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
J. Stidham DEN,@ NO,0,0,0,0,0,0,0,2,-2,0,0,0,0,0,0,0,7
C. Tune ARI,vs LAC,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,7
B. Young CAR,@ WAS,0,2,2,-4,0,0,0,0,0,0,0,0,0,0,0,0,7
